emp_no,title,from_date
10001,Senior Engineer,1986-06-26
10004,Senior Engineer,1995-12-01
10009,Senior Engineer,1995-02-18
10018,Senior Engineer,1995-04-03
10035,Senior Engineer,1996-09-05
10053,Senior Staff,1994-11-13
10058,Senior Staff,1988-04-25
10066,Senior Engineer,1998-02-25
10067,Senior Engineer,1996-03-03
10070,Technique Leader,1985-10-14
10072,Senior Engineer,1995-05-21
10076,Senior Engineer,1996-07-15
10088,Senior Staff,1993-09-02
10100,Senior Staff,1994-09-21
10103,Engineer,1998-01-12
10108,Staff,1999-03-20
10116,Senior Engineer,1994-02-27
10126,Senior Staff,1991-09-08
10129,Technique Leader,1996-01-16
10130,Senior Engineer,1988-06-21
10134,Senior Engineer,1994-12-12
10138,Senior Engineer,2001-03-03
10149,Staff,1994-01-28
10150,Senior Engineer,1995-11-16
10152,Engineer,1986-01-27
10153,Assistant Engineer,2000-01-08
10157,Senior Engineer,1997-12-10
10161,Engineer,1991-06-09
10186,Staff,1996-12-25
10198,Senior Engineer,1993-08-31
10215,Senior Staff,1991-11-23
10217,Technique Leader,1986-05-12
10224,Senior Engineer,1996-01-09
10229,Engineer,1996-02-20
10233,Senior Staff,2000-04-28
10258,Senior Engineer,1997-05-16
10272,Staff,1997-10-23
10282,Engineer,2001-05-02
10283,Senior Engineer,1995-05-26
10286,Staff,1994-12-24
10302,Senior Staff,1994-07-22
10305,Engineer,1988-10-31
10326,Staff,1998-09-02
10327,Engineer,1987-09-18
10340,Senior Staff,1993-03-30
10347,Staff,1998-02-20
10355,Staff,1996-01-26
10356,Senior Staff,1995-06-26
10363,Assistant Engineer,1985-09-11
10364,Senior Engineer,1985-11-14
10372,Technique Leader,1985-07-30
10387,Senior Staff,1999-01-07
10395,Engineer,1998-08-10
10396,Senior Engineer,1986-01-11
10402,Technique Leader,1987-01-02
10404,Senior Engineer,1996-08-28
10426,Technique Leader,1985-07-06
10429,Senior Engineer,1988-09-23
10432,Senior Staff,1996-08-12
10442,Senior Staff,1999-02-12
10451,Senior Engineer,1998-03-12
10453,Senior Staff,1993-04-02
10463,Staff,1994-02-17
10466,Staff,1997-08-22
10486,Senior Engineer,1996-10-07
10494,Senior Engineer,2000-12-17
10504,Staff,1999-10-19
10512,Senior Staff,1998-11-28
10519,Senior Staff,2000-12-05
10522,Senior Staff,1995-12-12
10538,Senior Engineer,1987-07-23
10541,Staff,1986-02-28
10548,Senior Staff,1993-07-04
10564,Senior Engineer,2000-11-22
10575,Senior Engineer,1988-10-04
10591,Staff,1987-06-18
10608,Senior Engineer,1986-05-25
10617,Senior Staff,1991-10-30
10623,Senior Engineer,1999-01-15
10628,Senior Engineer,2001-03-14
10629,Staff,1999-10-20
10631,Engineer,1994-10-18
10642,Engineer,1998-10-05
